,Player,Season,BA,SLG,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
465,"Herrera, Odúbel",2017,0.281,0.452,9.7,35.1,114.6,87.2,91.0,85.5,434,172,396.0,130,32.3,11.2,25,6.2,4.4
466,"Kiermaier, Kevin",2019,0.228,0.398,6.9,26.4,111.4,89.2,93.3,88.3,437,146,412.0,130,37.7,13.3,19,5.5,4.0
467,"Kinsler, Ian",2018,0.24,0.38,17.7,36.6,106.1,85.3,89.0,83.4,412,177,389.0,111,26.2,11.7,13,3.1,2.4
468,"Lowrie, Jed",2017,0.277,0.448,18.7,43.2,106.3,89.1,91.7,86.3,426,202,392.0,177,37.7,14.2,28,6.0,4.3
469,"Maldonado, Martín",2017,0.221,0.368,12.9,26.3,110.4,85.4,91.0,81.9,447,162,405.0,100,31.3,11.4,18,5.6,3.8
470,"Markakis, Nick",2018,0.297,0.44,10.1,38.4,109.3,90.6,92.2,90.2,429,170,398.0,229,41.6,20.3,17,3.1,2.4
471,"Marte, Ketel",2018,0.26,0.437,5.8,28.8,115.1,88.8,92.0,87.8,465,146,405.0,163,36.9,16.3,22,5.0,3.8
472,"Mercer, Jordy",2017,0.255,0.406,9.1,35.3,106.3,85.8,90.4,82.0,444,163,394.0,134,32.4,14.6,13,3.1,2.3
473,"O'Hearn, Ryan",2019,0.195,0.369,13.0,29.9,111.2,90.5,95.8,88.1,440,175,403.0,101,43.7,14.8,21,9.1,5.7
474,"Peralta, David",2017,0.293,0.444,4.2,27.0,113.8,88.0,93.8,85.0,455,144,395.0,153,35.4,14.7,18,4.1,3.1
475,"Peraza, José",2018,0.288,0.416,15.0,37.7,108.7,85.8,87.3,85.9,426,177,391.0,134,23.6,11.7,14,2.5,2.0
476,"Pérez, Hernán",2017,0.259,0.414,10.3,29.2,108.5,84.9,90.4,81.9,423,153,398.0,99,27.6,12.0,11,3.1,2.4
477,"Pollock, AJ",2017,0.266,0.471,8.5,35.0,108.7,88.1,94.2,83.5,433,169,406.0,135,38.4,18.3,20,5.6,4.3
478,"Ramos, Wilson",2019,0.288,0.416,-0.1,25.8,111.0,90.0,93.8,88.8,427,120,390.0,173,42.5,18.7,19,4.7,3.6
479,"Reddick, Josh",2019,0.275,0.409,15.8,35.7,107.7,86.1,88.8,85.3,436,174,386.0,127,29.4,12.4,15,3.4,2.7
480,"Simmons, Andrelton",2017,0.278,0.421,7.8,31.3,109.7,86.1,90.8,83.6,438,155,395.0,151,28.7,14.2,13,2.5,2.0
481,"Swanson, Dansby",2018,0.238,0.395,14.1,31.8,108.5,88.0,91.9,85.8,438,168,399.0,124,34.0,11.5,15,4.1,2.8
482,"Turner, Justin",2018,0.312,0.518,18.3,44.7,106.5,89.1,91.4,86.7,430,204,399.0,115,36.7,15.3,24,7.7,5.6
483,"Villar, Jonathan",2018,0.26,0.384,3.2,26.9,110.9,88.5,91.9,87.1,430,134,399.0,119,36.0,11.2,17,5.1,3.3
484,"Walker, Neil",2017,0.265,0.439,17.0,35.4,109.8,85.9,90.1,82.6,431,182,400.0,97,31.3,13.6,15,4.8,3.3
485,"Altuve, Jose",2018,0.316,0.451,10.1,34.0,112.3,87.2,92.3,82.8,443,159,399.0,155,33.8,15.4,27,5.9,4.5
486,"Bautista, José",2018,0.203,0.378,19.8,34.4,111.9,90.8,95.3,88.5,429,193,393.0,91,43.3,13.3,17,7.9,4.3
487,"Benintendi, Andrew",2019,0.266,0.431,17.3,39.9,107.7,89.1,91.9,87.4,436,193,389.0,154,37.8,12.3,33,8.1,5.4
488,"Bryant, Kris",2018,0.272,0.46,17.8,37.9,110.2,85.8,91.3,78.8,448,186,406.0,95,33.5,11.2,26,9.1,5.7
489,"Canó, Robinson",2019,0.256,0.428,7.4,33.6,112.1,90.9,93.2,90.2,429,161,401.0,150,46.3,19.0,24,7.4,5.7
490,"Descalso, Daniel",2018,0.238,0.436,19.1,41.5,105.5,89.0,92.3,85.9,432,210,385.0,86,35.2,11.7,25,10.2,5.9
491,"Dickerson, Corey",2018,0.3,0.474,15.1,37.6,111.4,87.9,91.8,84.3,447,183,400.0,138,32.4,11.7,26,6.1,4.9
492,"Dietrich, Derek",2017,0.249,0.424,16.7,32.1,110.8,85.9,90.1,82.0,425,192,391.0,102,32.7,12.0,18,5.8,3.9
493,"Drury, Brandon",2017,0.267,0.447,7.7,33.7,111.7,88.2,93.8,84.2,444,160,408.0,132,38.7,15.7,17,4.9,3.5
494,"Galvis, Freddy",2018,0.248,0.38,13.7,32.3,105.8,88.6,91.8,85.9,419,176,382.0,131,28.9,10.1,18,3.9,2.7
495,"Gordon, Alex",2018,0.245,0.37,10.9,36.5,109.0,88.5,93.4,84.3,422,170,399.0,152,39.7,14.9,26,6.8,4.6
496,"Gordon, Alex",2019,0.266,0.396,9.3,33.7,110.6,88.7,92.5,85.5,454,170,399.0,178,38.4,15.7,25,5.4,3.9
497,"Gurriel, Yuli",2018,0.291,0.428,11.5,32.6,107.9,89.3,89.7,91.0,427,165,378.0,176,36.6,18.4,9,1.9,1.6
498,"Granderson, Curtis",2018,0.242,0.431,16.9,44.8,108.3,88.7,92.3,83.3,423,202,384.0,82,34.3,12.0,15,6.3,3.7
499,"Jansen, Danny",2019,0.207,0.36,16.3,31.9,111.4,88.9,92.6,87.7,430,184,409.0,108,40.0,15.8,16,5.9,4.2
500,"Margot, Manuel",2017,0.263,0.409,10.4,34.5,109.7,85.3,90.0,81.9,424,173,395.0,111,29.3,12.0,10,2.6,1.9
501,"Martin, Russell",2017,0.221,0.388,6.9,32.9,108.9,88.3,95.1,83.0,449,157,399.0,85,37.9,14.2,16,7.1,4.4
502,"McCann, James",2017,0.253,0.415,15.7,40.4,109.2,87.2,90.9,83.6,435,184,397.0,91,34.1,12.3,21,7.9,5.4
503,"Moran, Colin",2019,0.277,0.429,12.5,37.1,110.1,88.2,93.3,84.6,422,169,393.0,121,34.8,12.5,26,7.4,5.2
504,"Murphy, Daniel",2019,0.279,0.452,14.8,36.7,106.4,86.3,89.3,84.1,427,181,388.0,104,28.3,11.8,9,2.4,1.9
505,"Pearce, Steve",2017,0.252,0.438,13.8,35.1,108.6,87.2,92.1,83.3,434,177,393.0,89,35.9,13.7,17,6.9,4.9
506,"Pence, Hunter",2017,0.26,0.385,4.2,25.3,114.0,89.0,94.0,86.8,444,142,395.0,148,37.6,15.5,23,5.8,4.3
507,"Phillips, Brandon",2017,0.285,0.416,8.2,31.1,108.4,84.6,89.2,82.1,434,142,406.0,124,25.1,10.5,12,2.4,2.0
508,"Pinder, Chad",2019,0.24,0.416,8.6,31.9,110.0,90.9,96.1,87.9,437,168,405.0,110,44.4,16.0,21,8.2,5.7
509,"Piscotty, Stephen",2019,0.249,0.412,12.5,31.8,111.2,89.2,92.6,86.2,418,173,395.0,111,41.0,14.6,21,7.6,5.3
510,"Polanco, Jorge",2017,0.256,0.41,16.3,31.4,107.0,85.0,89.1,81.4,428,176,392.0,109,25.8,12.0,11,2.6,2.0
511,"Reddick, Josh",2017,0.314,0.484,17.8,38.3,110.2,87.7,90.6,85.8,422,195,386.0,131,31.6,14.6,16,3.8,3.0
512,"Severino, Pedro",2019,0.249,0.42,13.2,35.7,111.0,87.6,92.0,84.3,430,172,402.0,79,33.6,12.8,20,8.5,5.9
513,"Smith, Seth",2017,0.258,0.433,9.9,36.9,112.4,89.8,94.9,84.7,428,184,400.0,103,40.9,15.9,18,7.1,4.8
514,"Sogard, Eric",2019,0.29,0.457,19.3,40.7,102.9,85.7,88.3,83.6,414,187,378.0,69,20.4,10.1,7,2.1,1.6
515,"Spangenberg, Cory",2017,0.264,0.401,9.9,35.4,108.8,87.1,91.6,83.5,432,156,406.0,91,29.0,10.2,14,4.4,2.9
516,"Aguilar, Jesús",2019,0.236,0.389,13.8,33.8,112.2,89.4,93.2,87.1,446,175,402.0,92,38.3,13.7,18,7.5,4.9
517,"Alberto, Hanser",2019,0.305,0.422,11.9,32.5,103.6,84.4,86.9,83.2,418,156,395.0,89,18.5,8.5,14,2.9,2.5
518,"Andrus, Elvis",2019,0.275,0.393,7.2,32.5,110.2,88.4,90.6,87.6,447,151,402.0,178,34.8,15.2,18,3.5,2.8
519,"Bader, Harrison",2018,0.264,0.422,13.7,34.6,113.6,87.1,91.6,83.9,431,177,403.0,80,30.8,10.0,18,6.9,4.2
520,"Bader, Harrison",2019,0.205,0.366,15.3,31.3,111.2,88.4,94.2,83.9,454,195,411.0,82,35.3,11.4,23,9.9,5.7
521,"Bauers, Jake",2019,0.226,0.371,15.0,31.5,109.5,88.1,91.0,87.0,450,174,393.0,86,33.1,11.6,13,5.0,3.1
522,"Beckham, Tim",2018,0.23,0.374,9.8,31.6,111.2,87.1,92.2,83.6,431,158,405.0,96,35.3,12.9,16,5.9,4.0
523,"Bell, Josh",2018,0.261,0.411,9.4,29.6,115.6,90.2,94.2,88.5,432,160,402.0,157,39.3,15.4,28,7.0,4.8
524,"Cabrera, Miguel",2019,0.282,0.398,12.3,38.2,111.4,90.3,92.3,89.1,453,173,396.0,173,44.7,17.2,25,6.4,4.6
525,"Castro, Starlin",2018,0.278,0.4,8.4,32.0,109.3,88.5,91.9,87.1,427,154,400.0,172,36.2,15.5,33,6.9,5.1
526,"Cervelli, Francisco",2018,0.259,0.431,16.3,35.8,110.2,88.8,93.6,84.5,428,183,383.0,101,39.8,15.4,21,8.3,5.2
527,"Davis, Chris",2019,0.179,0.326,14.1,39.8,108.4,89.1,93.1,84.0,417,193,390.0,67,39.2,10.9,18,10.5,5.1
528,"Flowers, Tyler",2017,0.281,0.445,11.2,32.1,112.8,89.6,93.2,87.1,447,169,395.0,95,40.1,13.8,15,6.3,4.1
529,"Galvis, Freddy",2017,0.255,0.382,15.2,32.8,106.0,86.3,90.1,82.9,417,179,387.0,118,23.5,9.1,12,2.4,1.8
530,"Gardner, Brett",2018,0.236,0.368,9.4,30.6,110.1,88.0,91.7,86.4,426,156,386.0,142,32.9,15.2,12,2.8,2.0
531,"Gomes, Yan",2019,0.223,0.389,18.1,32.0,107.6,87.6,91.6,84.6,447,190,406.0,83,36.1,11.8,16,6.9,4.5
532,"Goodrum, Niko",2019,0.248,0.421,13.0,37.3,109.4,89.3,92.5,86.8,419,176,381.0,119,41.8,12.6,18,6.3,3.8
533,"Granderson, Curtis",2019,0.183,0.356,19.4,38.5,107.0,88.8,92.9,82.8,439,196,393.0,77,34.8,12.3,16,7.2,4.4
534,"Headley, Chase",2017,0.273,0.406,11.7,36.9,107.9,87.2,90.3,84.9,435,170,396.0,129,33.2,12.5,18,4.6,3.1
535,"Kipnis, Jason",2017,0.232,0.414,17.5,37.9,107.8,86.2,91.1,81.9,416,196,391.0,86,31.6,12.9,13,4.8,3.5
536,"Mahtook, Mikie",2017,0.276,0.457,10.2,32.8,111.9,88.4,92.0,85.6,448,171,410.0,103,38.0,15.3,15,5.5,4.0
537,"Maldonado, Martín",2019,0.213,0.378,12.7,26.0,110.1,88.1,93.6,85.0,425,158,383.0,85,34.6,13.1,19,7.6,5.1
538,"Margot, Manuel",2019,0.234,0.387,14.2,27.8,109.6,87.7,91.0,88.0,417,152,391.0,109,34.8,14.2,11,3.5,2.5
539,"Merrifield, Whit",2018,0.304,0.438,16.9,40.7,106.4,87.0,91.1,83.2,430,183,401.0,163,31.2,12.5,24,4.6,3.4
